DAN,TEMP
845,11.07
846,18.06
847,22.46
848,21.46
849,22.53
850,24.87
851,19.00
852,17.21
853,12.29
854,10.78
855,12.85
856,8.22
857,1.00
858,1.14
859,5.80
860,1.72
861,1.00
862,1.06
863,3.74
864,0.41
865,4.66
866,-0.36
867,0.07
868,1.22
869,4.40
870,-6.57
871,-5.29
872,6.00
873,1.93
874,6.59
875,6.79
876,0.27
877,-0.21
878,3.21
879,0.40
880,4.31
881,7.14
882,-2.00
883,-2.34
884,6.86
885,11.87
886,3.40
887,8.67
888,14.71
889,9.27
890,6.77
891,7.57
892,9.00
893,7.93
894,8.29
895,11.92
897,-8.28
898,-7.57
899,-2.00
900,-5.64
901,-1.21
902,0.08
903,-7.07
904,-4.07
905,-5.34
906,-3.00
907,-2.14
908,-2.36
909,2.78
910,0.67
911,-7.85
912,-4.93
913,-3.93
914,-5.60
915,-6.27
916,-18.87
917,-17.54
918,-15.77
919,-12.31
920,-16.57
921,-21.47
922,-20.69
923,-17.36
924,-10.86
925,-14.69
926,-15.87
927,-16.67
928,-12.00
929,-1.93
930,2.38
931,5.21
932,2.61
933,-13.46
934,-16.14
935,-16.00
936,-10.07
937,-14.79
938,-13.79
939,-2.79
940,4.40
941,5.50
942,4.50
943,2.79
944,-1.79
945,-2.78
946,-3.30
947,-3.06
948,6.60
949,-0.20
950,-6.94
951,-9.35
952,-5.57
953,-2.00
954,-14.07
955,-12.71
956,-8.64
957,-16.29
958,-10.13
959,-12.93
960,-9.86
961,-9.93
962,-11.94
963,-10.54
964,-6.65
965,-12.00
966,-1.31
967,4.60
968,0.94
969,-8.00
970,2.00
971,5.40
972,-5.50
973,-6.72
974,-7.14
975,-1.80
976,-0.53
977,-2.60
978,-1.54
979,5.00
980,5.93
981,6.77
982,4.21
983,4.20
984,6.93
985,4.43
986,-0.43
987,0.00
988,-2.62
989,-1.64
990,0.86
991,1.67
992,2.21
993,3.66
994,1.46
995,6.53
996,2.57
997,3.57
998,7.71
999,5.00
1000,5.00
1001,-0.69
1002,2.36
1003,5.00
1004,4.53
1005,3.21
1006,5.72
1007,2.15
1008,6.13
1009,9.33
1010,3.28
1011,2.40
1012,-3.46
1013,-1.47
1014,-1.13
1015,-0.74
1016,-1.47
1017,2.93
1018,-6.13
1019,-1.50
1020,-0.99
1021,2.43
1022,3.13
1023,7.93
1024,8.85
1025,3.80
1026,-3.64
1027,-2.57
1028,0.69
1029,5.15
1030,3.08
1031,9.57
1032,10.07
1033,13.66
1034,16.78
1035,19.93
1036,15.86
1037,13.64
1038,17.57
1039,14.72
1040,13.00
1041,19.47
1042,26.64
1043,20.06
1044,17.34
1045,23.00
1046,24.23
1047,27.29
1048,23.87
1049,28.92
1050,19.06
1051,15.67
1052,14.78
1053,9.94
1054,15.78
1055,20.93
1056,21.67
1057,23.21
1058,29.27
1059,28.67
1060,28.29
1061,14.21
1062,21.33
1063,19.74
1064,22.71
1065,25.93
1066,32.28
1067,30.80
1068,33.50
1069,31.00
1070,36.92
1071,29.89
1072,22.20
1073,28.20
1074,25.80
1075,17.43
1076,19.28
1077,28.42
1078,25.57
1079,24.29
1080,25.06
1081,21.64
1082,20.64
1083,22.93
1084,21.53
1085,25.00
1086,25.73
1087,26.86
1088,30.79
1089,27.07
1090,31.57
1091,23.43
1092,19.07
1093,25.50
1094,24.36
1095,26.47
1096,27.00
1097,25.79
1098,27.07
1099,21.20
1100,25.47
1101,28.86
1102,36.14
1103,29.15
1104,19.93
1105,29.80
1106,25.64
1107,23.74
1108,26.87
1109,26.50
1110,28.46
1111,31.50
1112,30.79
1113,28.13
1114,31.80
1115,32.56
1116,24.49
1117,30.00
1118,30.07
1119,28.33
1120,26.07
1121,26.80
1122,20.93
1123,25.87
1124,26.47
1125,26.20
1126,27.46
1127,28.00
1128,25.44
1129,20.50
1130,24.33
1131,25.67
1132,26.36
1133,28.07
1134,28.85
1135,22.40
1136,20.53
1137,27.13
1138,23.00
1139,27.65
1140,27.00
1141,23.99
1142,31.13
1143,30.40
1144,29.82
1145,30.14
1146,30.73
1147,31.85
1148,30.20
1149,28.85
